,pixel,closest contour point,closest skeleton point,slope at nc,slope at ns,average slope,average angle
1331,[1327  237],[1360  271],[1321  226],-0.7000000000000001,-0.7000000000000002,-0.6999999999999998,34.992020198558656
1332,[845 215],[882 176],[841 222],0.3,0.30000000000000004,0.30000000000000004,-16.69924423399362
1333,[961 454],[946 439],[973 493],-0.30000000000000004,-0.30000000000000004,-0.3,16.69924423399362
1334,[356 712],[337 734],[357 675],0.30000000000000004,0.30000000000000004,0.3,-16.69924423399362
1335,[103 457],[130 432],[ 81 465],2.4999999999999996,2.4999999999999996,2.5000000000000004,-68.19859051364821
1336,[621 666],[642 690],[613 638],-0.30000000000000004,-0.30000000000000004,-0.3,16.69924423399362
1337,[917 537],[943 563],[907 514],-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,16.69924423399362
1338,[1298  493],[1323  467],[1287  515],0.6,0.30000000000000004,0.42163335442365746,-22.861910757433627
1339,[761 169],[793 137],[754 183],0.3,0.30000000000000004,0.3,-16.69924423399362
1340,[1384  132],[1356  105],[1401  144],-1.5,-1.3461538461538463,-1.399769630393785,54.45786253084276
1341,[ 96 275],[135 314],[ 90 271],-2.4999999999999996,-2.4999999999999996,-2.5000000000000004,68.19859051364821
1342,[686 651],[700 667],[672 615],-0.5,-0.30000000000000004,-0.42899829518699045,23.21924982179931
1343,[243  83],[222  60],[257 110],-0.5,-0.5,-0.5,26.56505117707799
1344,[ 86 526],[ 55 556],[102 518],1.5,1.7857142857142856,1.7019624060703666,-59.563334574473494
1345,[343  73],[306  33],[344  88],-0.3,-0.3,-0.3,16.69924423399362
1346,[553 134],[529 159],[559 107],0.30000000000000004,0.3,0.3,-16.69924423399362
1347,[1258  479],[1286  449],[1250  499],0.5,0.30000000000000004,0.3688450409791961,-20.246245952576018
1348,[598  79],[615  62],[587 115],0.3,0.30000000000000004,0.3,-16.69924423399362
1349,[848 270],[835 284],[861 231],0.30000000000000004,0.3,0.30000000000000004,-16.69924423399362
1350,[1147  460],[1186  421],[1147  478],0.30000000000000004,0.0,0.073816547548114,-4.221719857333801
1351,[109 514],[147 478],[102 517],1.785714285714286,1.7857142857142856,1.7857099999999997,-60.751115041598304
1352,[742 616],[763 639],[728 590],-0.5,-0.30000000000000004,-0.3973379628901349,21.669803141997328
1353,[152 114],[145 106],[182 152],-0.7000000000000002,-0.7000000000000001,-0.6999999999999998,34.992020198558656
1354,[327 701],[302 728],[327 671],0.30000000000000004,0.20000000000000004,0.2449123721538427,-13.76156418639477
1355,[134 192],[ 94 152],[136 195],-1.1764705882352942,-1.0,-1.0105738465461402,45.301322528375884
1356,[1344  274],[1349  279],[1310  234],-0.6,-0.7000000000000002,-0.6118704443409243,31.461231620640717
1357,[128 553],[168 513],[126 555],1.176470588235294,1.1764705882352942,1.17647,-49.63544929005889
1358,[1452  683],[1485  652],[1434  688],2.4999999999999996,2.4999999999999996,2.5,-68.19859051364821
1359,[ 64 494],[ 37 521],[ 86 483],1.7857142857142856,1.7857142857142856,1.7857099999999997,-60.751115041598304
1360,[1208  546],[1208  546],,0.30000000000000004,,0.30000000000000004,-16.69924423399362
1361,[ 49 303],[ 23 278],[ 77 308],-2.5,-2.4999999999999996,-2.5,68.19859051364821
1362,[1174  495],[1146  534],[1174  481],0.30000000000000004,0.0,0.06773055725644908,-3.8747572485744195
1363,[1031  459],[1001  426],[1035  481],-0.30000000000000004,-0.30000000000000004,-0.29999999999999993,16.69924423399362
1364,[860 215],[892 180],[853 227],0.3,0.30000000000000004,0.3,-16.69924423399362
1365,[777 611],[791 626],[761 575],-0.5,-0.30000000000000004,-0.4315072207534615,23.340546511784172
1366,[166 642],[149 659],[187 614],0.7000000000000001,0.7000000000000001,0.7000000000000001,-34.99202019855867
1367,[213 189],[220 197],[183 152],-0.7000000000000001,-0.7000000000000002,-0.7000000000000001,34.99202019855867
1368,[132 256],[152 274],[105 240],-1.7857142857142858,-1.3461538461538463,-1.5828115140102703,57.715828293391226
1369,[685 622],[720 658],[679 612],-0.30000000000000004,-0.5,-0.46230280353306213,24.811233059716454
1370,[456  49],[474  28],[450  86],0.3,0.30000000000000004,0.3,-16.69924423399362
1371,[129 453],[135 448],[ 89 489],2.4999999999999996,1.7857142857142856,2.4094717038947797,-67.4601453336665
1372,[1449  617],[1463  605],[1411  633],1.7857142857142858,2.4999999999999996,2.0064377489120813,-63.508530470741796
1373,[443 104],[423 141],[443  86],0.30000000000000004,0.0,0.08991086582974489,-5.13769854023452
1374,[841 528],[804 491],[846 537],-0.5,-0.30000000000000004,-0.33288207688501203,18.41167609264067
1375,[822 264],[813 275],[844 224],0.5,0.5,0.5,-26.56505117707799
1376,[850 574],[868 592],[834 543],-0.5,-0.30000000000000004,-0.4156272268487983,22.569100700441112
1377,[1159  523],[1155  535],[1185  483],0.30000000000000004,0.30000000000000004,0.29999999999999993,-16.69924423399362
1378,[785 207],[748 246],[787 199],0.5,0.3,0.3265985658082055,-18.08696363360067
1379,[170 617],[137 650],[178 607],0.8,0.7000000000000001,0.7215320466294473,-35.8116559932213
1380,[ 95 165],[ 89 159],[134 197],-1.3461538461538463,-1.3461538461538463,-1.34615,53.39284682374126
